token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
64480,ADANIENT29MAY251800CE,ADANIENT,29MAY2025,180000.000000,300,OPTSTK,NFO,5.000000
64498,ADANIENT29MAY252160CE,ADANIENT,29MAY2025,216000.000000,300,OPTSTK,NFO,5.000000
64506,ADANIENT29MAY252320CE,ADANIENT,29MAY2025,232000.000000,300,OPTSTK,NFO,5.000000
64518,ADANIENT29MAY252560CE,ADANIENT,29MAY2025,256000.000000,300,OPTSTK,NFO,5.000000
64512,ADANIENT29MAY252440CE,ADANIENT,29MAY2025,244000.000000,300,OPTSTK,NFO,5.000000
64525,ADANIENT29MAY252680PE,ADANIENT,29MAY2025,268000.000000,300,OPTSTK,NFO,5.000000
66369,ADANIENT29MAY252180PE,ADANIENT,29MAY2025,218000.000000,300,OPTSTK,NFO,5.000000
66360,ADANIENT29MAY252020PE,ADANIENT,29MAY2025,202000.000000,300,OPTSTK,NFO,5.000000
66392,ADANIENT29MAY252620CE,ADANIENT,29MAY2025,262000.000000,300,OPTSTK,NFO,5.000000
66504,ADANIENT26JUN252000CE,ADANIENT,26JUN2025,200000.000000,300,OPTSTK,NFO,5.000000
66513,ADANIENT26JUN252160PE,ADANIENT,26JUN2025,216000.000000,300,OPTSTK,NFO,5.000000
53224,ADANIENT31JUL25FUT,ADANIENT,31JUL2025,-1.000000,300,FUTSTK,NFO,10.000000
56799,ADANIENT26JUN25FUT,ADANIENT,26JUN2025,-1.000000,300,FUTSTK,NFO,10.000000
59436,ADANIENT26JUN252300PE,ADANIENT,26JUN2025,230000.000000,300,OPTSTK,NFO,5.000000
59425,ADANIENT26JUN252100CE,ADANIENT,26JUN2025,210000.000000,300,OPTSTK,NFO,5.000000
59429,ADANIENT26JUN252180CE,ADANIENT,26JUN2025,218000.000000,300,OPTSTK,NFO,5.000000
59443,ADANIENT26JUN252460CE,ADANIENT,26JUN2025,246000.000000,300,OPTSTK,NFO,5.000000
59453,ADANIENT26JUN252620CE,ADANIENT,26JUN2025,262000.000000,300,OPTSTK,NFO,5.000000
59451,ADANIENT26JUN252580CE,ADANIENT,26JUN2025,258000.000000,300,OPTSTK,NFO,5.000000
59552,ADANIENT31JUL252240PE,ADANIENT,31JUL2025,224000.000000,300,OPTSTK,NFO,5.000000
59569,ADANIENT31JUL252400PE,ADANIENT,31JUL2025,240000.000000,300,OPTSTK,NFO,5.000000
59570,ADANIENT31JUL252440CE,ADANIENT,31JUL2025,244000.000000,300,OPTSTK,NFO,5.000000
59517,ADANIENT31JUL251920PE,ADANIENT,31JUL2025,192000.000000,300,OPTSTK,NFO,5.000000
59609,ADANIENT31JUL252600PE,ADANIENT,31JUL2025,260000.000000,300,OPTSTK,NFO,5.000000
59600,ADANIENT31JUL252600CE,ADANIENT,31JUL2025,260000.000000,300,OPTSTK,NFO,5.000000
59616,ADANIENT31JUL252720PE,ADANIENT,31JUL2025,272000.000000,300,OPTSTK,NFO,5.000000
59432,ADANIENT26JUN252220PE,ADANIENT,26JUN2025,222000.000000,300,OPTSTK,NFO,5.000000
59444,ADANIENT26JUN252460PE,ADANIENT,26JUN2025,246000.000000,300,OPTSTK,NFO,5.000000
59427,ADANIENT26JUN252140CE,ADANIENT,26JUN2025,214000.000000,300,OPTSTK,NFO,5.000000
59568,ADANIENT31JUL252400CE,ADANIENT,31JUL2025,240000.000000,300,OPTSTK,NFO,5.000000
59596,ADANIENT31JUL252560CE,ADANIENT,31JUL2025,256000.000000,300,OPTSTK,NFO,5.000000
59599,ADANIENT31JUL252560PE,ADANIENT,31JUL2025,256000.000000,300,OPTSTK,NFO,5.000000
59611,ADANIENT31JUL252640PE,ADANIENT,31JUL2025,264000.000000,300,OPTSTK,NFO,5.000000
59627,ADANIENT31JUL252800CE,ADANIENT,31JUL2025,280000.000000,300,OPTSTK,NFO,5.000000
59628,ADANIENT31JUL252800PE,ADANIENT,31JUL2025,280000.000000,300,OPTSTK,NFO,5.000000
59437,ADANIENT26JUN252340CE,ADANIENT,26JUN2025,234000.000000,300,OPTSTK,NFO,5.000000
59448,ADANIENT26JUN252500PE,ADANIENT,26JUN2025,250000.000000,300,OPTSTK,NFO,5.000000
59423,ADANIENT26JUN252060CE,ADANIENT,26JUN2025,206000.000000,300,OPTSTK,NFO,5.000000
59459,ADANIENT26JUN252740CE,ADANIENT,26JUN2025,274000.000000,300,OPTSTK,NFO,5.000000
59549,ADANIENT31JUL252200CE,ADANIENT,31JUL2025,220000.000000,300,OPTSTK,NFO,5.000000
59542,ADANIENT31JUL252120CE,ADANIENT,31JUL2025,212000.000000,300,OPTSTK,NFO,5.000000
59590,ADANIENT31JUL252480CE,ADANIENT,31JUL2025,248000.000000,300,OPTSTK,NFO,5.000000
59614,ADANIENT31JUL252720CE,ADANIENT,31JUL2025,272000.000000,300,OPTSTK,NFO,5.000000
64495,ADANIENT29MAY252080PE,ADANIENT,29MAY2025,208000.000000,300,OPTSTK,NFO,5.000000
64496,ADANIENT29MAY252120CE,ADANIENT,29MAY2025,212000.000000,300,OPTSTK,NFO,5.000000
64503,ADANIENT29MAY252240PE,ADANIENT,29MAY2025,224000.000000,300,OPTSTK,NFO,5.000000
64488,ADANIENT29MAY251960CE,ADANIENT,29MAY2025,196000.000000,300,OPTSTK,NFO,5.000000
64492,ADANIENT29MAY252040CE,ADANIENT,29MAY2025,204000.000000,300,OPTSTK,NFO,5.000000
64493,ADANIENT29MAY252040PE,ADANIENT,29MAY2025,204000.000000,300,OPTSTK,NFO,5.000000
64499,ADANIENT29MAY252160PE,ADANIENT,29MAY2025,216000.000000,300,OPTSTK,NFO,5.000000
64504,ADANIENT29MAY252280CE,ADANIENT,29MAY2025,228000.000000,300,OPTSTK,NFO,5.000000
64501,ADANIENT29MAY252200PE,ADANIENT,29MAY2025,220000.000000,300,OPTSTK,NFO,5.000000
64514,ADANIENT29MAY252480CE,ADANIENT,29MAY2025,248000.000000,300,OPTSTK,NFO,5.000000
64516,ADANIENT29MAY252520CE,ADANIENT,29MAY2025,252000.000000,300,OPTSTK,NFO,5.000000
64527,ADANIENT29MAY252720PE,ADANIENT,29MAY2025,272000.000000,300,OPTSTK,NFO,5.000000
