token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
90085,ETERNAL26JUN25235CE,ETERNAL,26JUN2025,23500.000000,2000,OPTSTK,NFO,5.000000
90088,ETERNAL26JUN25245PE,ETERNAL,26JUN2025,24500.000000,2000,OPTSTK,NFO,5.000000
90148,ETERNAL31JUL25230CE,ETERNAL,31JUL2025,23000.000000,2425,OPTSTK,NFO,5.000000
90126,ETERNAL31JUL25190PE,ETERNAL,31JUL2025,19000.000000,2425,OPTSTK,NFO,5.000000
90086,ETERNAL26JUN25235PE,ETERNAL,26JUN2025,23500.000000,2000,OPTSTK,NFO,5.000000
90082,ETERNAL26JUN25215PE,ETERNAL,26JUN2025,21500.000000,2000,OPTSTK,NFO,5.000000
90105,ETERNAL26JUN25265CE,ETERNAL,26JUN2025,26500.000000,2000,OPTSTK,NFO,5.000000
90143,ETERNAL31JUL25200PE,ETERNAL,31JUL2025,20000.000000,2425,OPTSTK,NFO,5.000000
90142,ETERNAL31JUL25200CE,ETERNAL,31JUL2025,20000.000000,2425,OPTSTK,NFO,5.000000
90181,ETERNAL31JUL25280CE,ETERNAL,31JUL2025,28000.000000,2425,OPTSTK,NFO,5.000000
90151,ETERNAL31JUL25240PE,ETERNAL,31JUL2025,24000.000000,2425,OPTSTK,NFO,5.000000
90155,ETERNAL31JUL25260PE,ETERNAL,31JUL2025,26000.000000,2425,OPTSTK,NFO,5.000000
90156,ETERNAL31JUL25270CE,ETERNAL,31JUL2025,27000.000000,2425,OPTSTK,NFO,5.000000
90076,ETERNAL26JUN25195PE,ETERNAL,26JUN2025,19500.000000,2000,OPTSTK,NFO,5.000000
90081,ETERNAL26JUN25215CE,ETERNAL,26JUN2025,21500.000000,2000,OPTSTK,NFO,5.000000
90146,ETERNAL31JUL25220CE,ETERNAL,31JUL2025,22000.000000,2425,OPTSTK,NFO,5.000000
90182,ETERNAL31JUL25280PE,ETERNAL,31JUL2025,28000.000000,2425,OPTSTK,NFO,5.000000
